,imdbID,Title,Domestic Gross,Opening Weekend,Domestic Multiplier,Rotten Tomatoes Score,Metascore,imdbRating,imdbVotes,Year,Month,budget,popularity,vote_average,vote_count
70,tt0113010,Fair Game,11534477.0,4946332.0,2.331925353979474,12.0,13.0,4.3,11482.0,1995,11.0,50000000.0,5.912223,4.1,54.0
71,tt0113537,Kicking and Screaming,718490.0,19497.0,36.851310458019185,55.0,75.0,6.9,9436.0,1995,10.0,,3.3672760000000004,7.0,36.0
72,tt0113828,Les Misérables,740048.0,,,80.0,,7.4,3469.0,1995,3.0,,1.4794459999999998,6.6,8.0
73,tt0115644,Bed of Roses,19030691.0,6117558.0,3.1108313153712643,19.0,,6.1,7539.0,1996,1.0,,10.412194,5.1,27.0
74,tt0115676,Big Bully,2042530.0,1131094.0,1.8058004020885974,0.0,,4.6,4185.0,1996,1.0,15000000.0,2.936443,3.9,16.0
75,tt0114367,Screamers,5711695.0,2904140.0,1.9667423058117033,30.0,,6.4,23656.0,1995,9.0,20000000.0,12.758848,6.1,154.0
76,tt0113973,Nico Icon,306691.0,14763.0,20.77430061640588,88.0,,7.3,622.0,1995,2.0,,0.133893,7.3,3.0
77,tt0112744,The Crossing Guard,868979.0,71804.0,12.102097376190741,75.0,46.0,6.3,12132.0,1995,11.0,,5.756462,6.1,74.0
78,tt0116731,The Juror,22754725.0,8411178.0,2.7052958574886894,19.0,,5.7,16088.0,1996,2.0,44000000.0,6.010579,5.5,91.0
79,tt0112445,The White Balloon,924940.0,,,80.0,,7.8,5972.0,1995,1.0,,1.196256,7.5,20.0
80,tt0114660,Things to Do in Denver When You're Dead,529766.0,44108.0,12.010655663371724,33.0,46.0,6.8,24939.0,1995,12.0,8000000.0,4.486179,6.7,87.0
81,tt0112379,Antonia's Line,4228275.0,45051.0,93.85529732969302,67.0,,7.4,7745.0,1995,9.0,900000.0,2.030174,7.2,26.0
82,tt0114039,Once Upon a Time... When We Were Colored,2291255.0,75675.0,30.277568549719195,71.0,,7.2,441.0,1995,1.0,,0.252287,4.5,2.0
83,tt0113612,Last Summer in the Hamptons,801984.0,,,64.0,,6.0,341.0,1995,11.0,,0.531159,0.0,0.0
84,tt0112365,Angels and Insects,3414301.0,,,71.0,,6.8,4268.0,1995,9.0,,2.1516599999999997,6.3,17.0
85,tt0118158,White Squall,10292300.0,3908514.0,2.633302579957498,60.0,53.0,6.6,20125.0,1996,2.0,38000000.0,9.568603999999999,6.3,86.0
86,tt0116151,Dunston Checks In,9871065.0,2996891.0,3.293768442028756,12.0,54.0,5.3,11288.0,1996,1.0,16000000.0,4.814825,5.1,59.0
87,tt0115697,Black Sheep,32417995.0,10593609.0,3.0601464524507183,28.0,,6.3,34601.0,1996,2.0,,8.963037,6.0,124.0
88,tt0113972,Nick of Time,8175346.0,2781601.0,2.939079328775047,32.0,,6.3,37213.0,1995,11.0,8169363.0,6.848591000000001,6.1,190.0
89,tt0113490,The Journey of August King,14381.0,5955.0,2.414945424013434,57.0,,6.6,861.0,1995,9.0,,0.41142399999999996,6.7,3.0
90,tt0117002,Mary Reilly,5707094.0,2812620.0,2.0291024027419273,26.0,44.0,5.8,13337.0,1996,2.0,47000000.0,12.866139,5.7,77.0
91,tt0114825,Vampire in Brooklyn,19751736.0,7045379.0,2.8035022672307623,10.0,27.0,4.5,20182.0,1995,10.0,14000000.0,9.071127,4.5,113.0
92,tt0115639,Beautiful Girls,10597759.0,2761790.0,3.837279083492952,79.0,64.0,7.1,30006.0,1996,2.0,,4.670562,6.6,103.0
93,tt0115759,Broken Arrow,70770147.0,15583510.0,4.541348322682117,53.0,61.0,6.0,86964.0,1996,2.0,50000000.0,14.957626000000001,5.7,459.0
94,tt0113403,A Midwinter's Tale,469571.0,19000.0,24.714263157894738,81.0,,7.3,2221.0,1995,12.0,,0.5133909999999999,7.5,6.0
95,tt0113247,La Haine,280859.0,,,100.0,,8.1,134572.0,1995,5.0,3000000.0,12.108196000000001,7.9,695.0
96,tt0111173,Shopping,3061.0,1983.0,1.5436207766011094,,,5.4,2358.0,1994,12.0,,2.6576470000000003,5.6,13.0
97,tt0113283,Heidi Fleiss: Hollywood Madam,34402.0,14321.0,2.4022065498219396,75.0,,6.6,623.0,1995,12.0,,0.638211,6.8,4.0
98,tt0115907,City Hall,20340204.0,6950794.0,2.926313741998396,56.0,,6.2,18603.0,1996,2.0,,4.8072230000000005,6.0,67.0
99,tt0115734,Bottle Rocket,560069.0,124118.0,4.512391433958007,85.0,66.0,7.0,65337.0,1996,2.0,7000000.0,6.904831,6.8,285.0
100,tt0117102,Mr. Wrong,12825141.0,5106797.0,2.5113864913761015,7.0,,3.9,4684.0,1996,2.0,,3.329264,3.3,16.0
101,tt0118040,Unforgettable,2821671.0,1442215.0,1.956484296724136,21.0,,6.0,4526.0,1996,2.0,18000000.0,2.464425,5.3,22.0
102,tt0116483,Happy Gilmore,38824099.0,8514125.0,4.559963472464875,61.0,31.0,7.0,184174.0,1996,2.0,12000000.0,9.592265,6.5,767.0
103,tt0112579,The Bridges of Madison County,71516617.0,10519257.0,6.798637679448273,90.0,66.0,7.6,66789.0,1995,5.0,24000000.0,5.951077,7.3,397.0
105,tt0117110,Muppet Treasure Island,34327391.0,7906689.0,4.341563326950131,73.0,64.0,7.0,19475.0,1996,2.0,,6.902423,6.5,93.0
106,tt0112646,Catwalk,28672.0,9560.0,2.999163179916318,29.0,,6.4,208.0,1995,12.0,,0.976707,7.0,2.0
108,tt0112573,Braveheart,75609945.0,9938276.0,7.607953834246503,77.0,68.0,8.3,907930.0,1995,5.0,72000000.0,20.755149,7.7,3404.0
109,tt0075314,Taxi Driver,27300000.0,,,98.0,94.0,8.3,659677.0,1976,2.0,1300000.0,14.092713,8.1,2632.0
